lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
reservation,noun,B1,cefrj,7,business_office,yes,7,,860
fax,noun,B1,cefrj,9,business_office,yes,9,,534
fax,verb,B1,cefrj,9,business_office,yes,9,,534
sometime,adverb,B1,cefrj,12,business_office,yes,12,,20
refund,noun,B1,cefrj,14,business_office,yes,14,,756
goods,noun,B1,cefrj,15,business_office,yes,15,,2
workshop,noun,B1,cefrj,16,business_office,yes,16,,1136
deadline,noun,B1,cefrj,18,business_office,yes,18,,560
accountant,noun,B1,cefrj,22,business_office,yes,22,,90
enclose,verb,B1,cefrj,27,,yes,27,,
caller,noun,B1,cefrj,35,,yes,35,,
luggage,noun,B1,cefrj,37,,yes,37,,
warranty,noun,B1,cefrj,42,business_office,yes,42,,164
reception,noun,B1,cefrj,46,,yes,46,,
obtain,verb,B1,cefrj,58,business_office,yes,58,,17
outdoor,adjective,B1,cefrj,61,,yes,61,,
destination,noun,B1,cefrj,63,business_office,yes,63,,585
depart,verb,B1,cefrj,76,business_office,yes,76,,1428
passport,noun,B1,cefrj,84,business_office,yes,84,,1701
instructor,noun,B1,cefrj,90,business_office,yes,90,,1628
keyboard,noun,B1,cefrj,91,,yes,91,,
admission,noun,B1,cefrj,95,business_office,yes,95,,986
underline,verb,B1,cefrj,97,,yes,97,,
electrical,adjective,B1,cefrj,98,business_office,yes,98,,749
assignment,noun,B1,cefrj,100,business_office,yes,100,,174
exit,noun,B1,cefrj,101,business_office,yes,101,,411
exit,verb,B1,cefrj,101,business_office,yes,101,,411
renew,verb,B1,cefrj,110,business_office,yes,110,,457
departure,noun,B1,cefrj,113,business_office,yes,113,,477
fitness,noun,B1,cefrj,115,,yes,115,,
photocopy,noun,B1,cefrj,123,,yes,123,,
shortly,adverb,B1,cefrj,129,business_office,yes,129,,553
inspection,noun,B1,cefrj,136,business_office,yes,136,,325
mechanic,noun,B1,cefrj,140,,yes,140,,
