lemma,pos,cefr_level,cefr_source,frequency_rank,topic_hint,in_tsl,tsl_rank,ngsl_rank,bsl_rank
invoice,noun,C1,octanove,19,business_office,yes,19,,295
appliance,noun,C1,octanove,88,business_office,yes,88,,1292
explanatory,adjective,C1,octanove,89,,yes,89,,
expire,verb,C1,octanove,121,business_office,yes,121,,343
itinerary,noun,C1,octanove,146,,yes,146,,
contractor,noun,C1,octanove,188,business_office,yes,188,,151
complimentary,adjective,C1,octanove,231,,yes,231,,
carrier,noun,C1,octanove,254,business_office,yes,254,,144
duration,noun,C1,octanove,266,business_office,yes,266,,109
transit,noun,C1,octanove,327,business_office,yes,327,,1444
drill,verb,C1,octanove,331,business_office,yes,331,,819
knowledgeable,adjective,C1,octanove,346,,yes,346,,
specification,noun,C1,octanove,360,business_office,yes,360,,322
spacious,adjective,C1,octanove,399,,yes,399,,
automatic,verb,C1,octanove,436,business_office,yes,436,,563
carpenter,noun,C1,octanove,438,,yes,438,,
consultation,noun,C1,octanove,441,business_office,yes,441,,922
durable,adjective,C1,octanove,442,business_office,yes,442,,1215
durable,noun,C1,octanove,442,business_office,yes,442,,1215
malfunction,verb,C1,octanove,445,,yes,445,,
prospective,adjective,C1,octanove,449,business_office,yes,449,,498
misplace,verb,C1,octanove,504,,yes,504,,
apprentice,noun,C1,octanove,565,,yes,565,,
apprentice,verb,C1,octanove,565,,yes,565,,
plausible,adjective,C1,octanove,583,business_office,yes,583,,1300
comply,verb,C1,octanove,595,business_office,yes,595,,244
institute,verb,C1,octanove,604,business_office,yes,604,,880
beforehand,adverb,C1,octanove,628,,yes,628,,
renown,noun,C1,octanove,648,,yes,648,,
aboard,preposition,C1,octanove,655,,yes,655,,
circulation,noun,C1,octanove,667,business_office,yes,667,,1005
sauna,noun,C1,octanove,689,,yes,689,,
inclusive,adjective,C1,octanove,721,,yes,721,,
portable,adjective,C1,octanove,733,business_office,yes,733,,1741
portable,noun,C1,octanove,733,business_office,yes,733,,1741
advisory,adjective,C1,octanove,751,business_office,yes,751,,699
substantially,adverb,C1,octanove,794,business_office,yes,794,,261
conform,verb,C1,octanove,810,business_office,yes,810,,945
organizational,adjective,C1,octanove,833,business_office,yes,833,,39
puzzle,verb,C1,octanove,837,business_office,yes,837,,824
staple,noun,C1,octanove,875,,yes,875,,
amateur,noun,C1,octanove,886,,yes,886,,
amateur,adjective,C1,octanove,886,,yes,886,,
imperative,adjective,C1,octanove,919,,yes,919,,
occupant,noun,C1,octanove,927,,yes,927,,
oversee,verb,C1,octanove,929,business_office,yes,929,,442
refresh,verb,C1,octanove,939,,yes,939,,
tailor,noun,C1,octanove,948,business_office,yes,948,,744
tailor,verb,C1,octanove,948,business_office,yes,948,,744
collaboration,noun,C1,octanove,964,business_office,yes,964,,900
drawback,noun,C1,octanove,972,business_office,yes,972,,1350
fatigue,noun,C1,octanove,979,,yes,979,,
personalize,verb,C1,octanove,1002,,yes,1002,,
reassure,verb,C1,octanove,1006,business_office,yes,1006,,917
bulk,noun,C1,octanove,1032,business_office,yes,1032,,469
circulate,verb,C1,octanove,1035,business_office,yes,1035,,1395
compliance,noun,C1,octanove,1038,business_office,yes,1038,,224
expedite,verb,C1,octanove,1046,,yes,1046,,
integral,adjective,C1,octanove,1056,business_office,yes,1056,,1243
chilly,adjective,C1,octanove,1110,,yes,1110,,
elevate,verb,C1,octanove,1129,,yes,1129,,
oblige,verb,C1,octanove,1153,business_office,yes,1153,,564
query,verb,C1,octanove,1163,business_office,yes,1163,,165
sketch,noun,C1,octanove,1177,,yes,1177,,
apprehensive,adjective,C1,octanove,1198,,yes,1198,,
discard,verb,C1,octanove,1209,,yes,1209,,
fixture,noun,C1,octanove,1214,,yes,1214,,
